Product Name,Price,Maximum Power,Displacement,Brake Front,Tire Type,Rating,Number of Ratings,Number of Reviews
Hero Splendor+ (Non i3S) Booking for Ex-Showroom Price,"₹76,526",Maximum Power: 5.9 kW @ 8000 rpm,Displacement: 97.2 cc,Brake Front: Drum,Tire Type: Tubeless,4.5,"5,695",397
BAJAJ PULSAR 220 F (UG) Booking for Ex-Showroom Price,"₹1,40,954",Maximum Power: 15 kW (20.4 PS) @ 8500 rpm,Displacement: 220 cc,Brake Front: Disc,Tire Type: Tubeless,4.3,21,2
Hero Super Splendor (Disc) Booking for Ex-Showroom Price,"₹84,198",Maximum Power: 10.7,Displacement: 124.7 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,513,46
Hero Glamour XTEC (Drum) Booking for Ex-Showroom Price,"₹90,794",Maximum Power: 10.7,Displacement: 124.7 cc,Brake Front: Drum,Tire Type: Tubeless,4.5,"1,860",197
BAJAJ Pulsar 125 (CARBON FIBRE SINGLE SEAT UG) Booking for Ex-Showroom Price,"₹89,350",Maximum Power: 8.68 kW @ 8500 rpm,Displacement: 124.38 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,456,54
Hero Super Splendor Xtec (Drum) Booking for Ex-Showroom Price,"₹83,150",Maximum Power: 10.7 BHP (at 7500 RPM),Displacement: 125 cc,Brake Front: Drum,Tire Type: Tubeless,4.5,"3,550",340
Hero XTREME 125R (ABS) Booking for Ex-Showroom Price,"₹1,03,035",Maximum Power: 8.5 kW @ 8250 rpm,Displacement: 124.7 cc,Brake Front: Disc,Tire Type: Tubeless,4.6,"3,436",344
BAJAJ Pulsar 150 (Single Disc UG) Booking for Ex-Showroom Price,"₹1,14,438",Maximum Power: 10.3 kW (14 PS) @ 8500 rpm,Displacement: 149.5 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,95,10
BAJAJ Avenger (220 CRUISE) Booking for Ex-Showroom Price,"₹1,47,507",Maximum Power: 14 kW @ 8400 rpm,Displacement: 220 cc,Brake Front: Disc,Tire Type: Tubed,4.3,11,0
Hero Glamour XTEC (Disc) Booking for Ex-Showroom Price,"₹94,998",Maximum Power: 10.7,Displacement: 124.7 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,"1,860",197
Hero XTREME 125R (IBS) Booking for Ex-Showroom Price,"₹97,107",Maximum Power: 8.5 kW @ 8250 rpm,Displacement: 124.7 cc,Brake Front: Disc,Tire Type: Tubeless,4.6,"3,436",344
Hero Super Splendor (Drum) Booking for Ex-Showroom Price,"₹81,498",Maximum Power: 10.7,Displacement: 124.7 cc,Brake Front: Drum,Tire Type: Tubeless,4.5,513,46
BAJAJ Pulsar N 150 (Twin Disc UG) Booking for Ex-Showroom Price,"₹1,25,728",Maximum Power: 10.66 kW (14.5 PS) @ 8500 rpm,Displacement: 149.68 cc,Brake Front: Disc,Tire Type: Tubeless,4.7,118,8
Hero Xpulse 200 4V (ABS Disc) Booking for Ex-Showroom Price,"₹1,48,141",Maximum Power: 19.1,Displacement: 199.6 cc,Brake Front: Disc,Tire Type: Tubed,4.7,746,84
Hero HF Deluxe (Non i3S with Kick Start) Booking for Ex-Showroom Price,"₹61,689",Maximum Power: 7.91,Displacement: 97.22 cc,Brake Front: Drum,Tire Type: Tubed,4.4,"6,773",508
BAJAJ Pulsar 150 (Twin Disc UG) Booking for Ex-Showroom Price,"₹1,18,476",Maximum Power: 10.3 kW (14 PS) @ 8500 rpm,Displacement: 149.5 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,95,10
BAJAJ Pulsar 125 (CARBON FIBRE SPLIT SEAT UG) Booking for Ex-Showroom Price,"₹91,181",Maximum Power: 8.68 kW @ 8500 rpm,Displacement: 124.38 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,456,54
BAJAJ Platina 100 (ES Drum) Booking for Ex-Showroom Price,"₹68,384","Maximum Power: 7.9 Ps @ 7,500 rpm",Displacement: 102 cc,Brake Front: Drum,Tire Type: Tubed,4.7,46,4
BAJAJ Pulsar 125 (NEON DISC SINGLE SEAT) Booking for Ex-Showroom Price,"₹82,944",Maximum Power: 8.68 kW @ 8500 rpm,Displacement: 124.38 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,456,54
Hero Glamour (Drum) Booking for Ex-Showroom Price,"₹83,948",Maximum Power: 7.75 KW (at 7500 rpm),Displacement: 125 cc,Brake Front: Drum,Tire Type: Tubeless,4.4,"1,046",135
Hero Splendor+ (i3S) Booking for Ex-Showroom Price,"₹77,636",Maximum Power: 5.9 kW @ 8000 rpm,Displacement: 97.2 cc,Brake Front: Drum,Tire Type: Tubeless,4.5,"5,695",397
BAJAJ PULSAR N 160 (UG) Booking for Ex-Showroom Price,"₹1,41,990",Maximum Power: 11.77 KW @ 8750 rpm,Displacement: 164.82 cc,Brake Front: Disc,Tire Type: Tubeless,4.4,126,14
Hero Mavrick 440 Booking for Ex-Showroom Price,"₹2,24,000",Maximum Power: 20.13 kW/27 bhp @ 6000 rpm,Displacement: 440 cc,Brake Front: Disc,Tire Type: Tubeless,4.6,97,16
BAJAJ Dominar (250) Booking for Ex-Showroom Price,"₹1,86,669",Maximum Power: 19.86 kW @ 8500 rpm,Displacement: 248.77 cc,Brake Front: Disc,Tire Type: Tubeless,3.7,3,0
